,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
298,298,187,Tobias Harris,28-338,F,2021-06-18*,PHI,@,ATL,W,24,1,39,9,20,.450,7,17,.412,2,3,.667,4,4,1.000,0,5,5,2,0,0,0,4,14.9,3.7
299,299,188,Tobias Harris,28-340,F,2021-06-20*,PHI,,ATL,L,24,1,45,8,24,.333,6,17,.353,2,7,.286,6,6,1.000,2,12,14,4,2,0,2,4,16.6,1.9
300,300,189,Reggie Jackson,31-065,G,2021-06-20*,LAC,@,PHO,L,24,1,39,10,19,.526,6,7,.857,4,12,.333,0,0,,1,5,6,4,1,0,5,1,15.3,-1.6
301,301,190,LeBron James,36-153,F-G,2021-06-01*,LAL,@,PHO,L,24,1,32,9,19,.474,3,9,.333,6,10,.600,0,0,,1,4,5,7,0,0,3,1,17.7,15.0
302,302,191,Nikola Jokić,26-110,C-F,2021-06-09*,DEN,@,PHO,L,24,1,30,9,17,.529,8,14,.571,1,3,.333,5,6,.833,4,9,13,6,1,0,2,1,23.6,14.0
303,303,192,Marcus Morris,31-285,F,2021-06-14*,LAC,,UTA,W,24,1,35,6,11,.545,1,5,.200,5,6,.833,7,8,.875,1,5,6,1,1,0,0,3,21.0,11.3
304,304,193,Duncan Robinson,27-030,G-F,2021-05-22*,MIA,@,MIL,L,24,1,36,7,13,.538,0,0,,7,13,.538,3,3,1.000,0,2,2,2,0,0,2,3,16.5,10.5
305,305,194,Dennis Schröder,27-252,G,2021-05-25*,LAL,@,PHO,W,24,1,34,8,16,.500,6,12,.500,2,4,.500,6,6,1.000,0,3,3,3,1,0,1,3,17.8,3.8
306,306,195,Russell Westbrook,32-202,G,2021-06-02*,WAS,@,PHI,L,24,1,38,7,20,.350,5,15,.333,2,5,.400,8,10,.800,2,6,8,10,0,0,4,4,16.6,-0.2
307,307,196,Mikal Bridges,24-281,G,2021-06-07*,PHO,,DEN,W,23,1,34,8,12,.667,4,4,1.000,4,8,.500,3,3,1.000,1,4,5,5,2,1,1,1,24.5,16.9
308,308,197,Dillon Brooks,25-124,F-G,2021-05-26*,MEM,@,UTA,L,23,1,28,10,14,.714,8,12,.667,2,2,1.000,1,1,1.000,0,2,2,1,1,0,1,5,16.5,4.6
309,309,198,John Collins,23-261,F,2021-06-11*,ATL,,PHI,L,23,1,33,10,14,.714,10,12,.833,0,2,.000,3,3,1.000,3,4,7,0,0,0,3,5,15.5,0.8
